    94    0.33950E-09    0.89461E-13   -0.25472E-11    0.61428E-06    0.87716E-09
    95    0.34357E-09    0.91498E-13   -0.26336E-11    0.61030E-06    0.86621E-09
    96    0.34763E-09    0.93526E-13   -0.27206E-11    0.60633E-06    0.85551E-09
    97    0.35175E-09    0.95544E-13   -0.28079E-11    0.60238E-06    0.84506E-09
    98    0.35591E-09    0.97551E-13   -0.28954E-11    0.59845E-06    0.83484E-09
    99    0.36007E-09    0.99542E-13   -0.29834E-11    0.59454E-06    0.82485E-09
   100    0.36427E-09    0.10152E-12   -0.30714E-11    0.59065E-06    0.81508E-09
   101    0.36849E-09    0.10348E-12   -0.31597E-11    0.58677E-06    0.80551E-09
   102    0.37279E-09    0.10542E-12   -0.32480E-11    0.58292E-06    0.79613E-09
   103    0.37707E-09    0.10734E-12   -0.33365E-11    0.57909E-06    0.78695E-09
   104    0.38138E-09    0.10924E-12   -0.34247E-11    0.57527E-06    0.77793E-09
   105    0.38572E-09    0.11112E-12   -0.35129E-11    0.57148E-06    0.76908E-09
   106    0.39008E-09    0.11297E-12   -0.36010E-11    0.56771E-06    0.76039E-09
   107    0.39444E-09    0.11479E-12   -0.36887E-11    0.56396E-06    0.75184E-09
   108    0.39884E-09    0.11658E-12   -0.37762E-11    0.56023E-06    0.74343E-09
   109    0.40327E-09    0.11834E-12   -0.38633E-11    0.55653E-06    0.73514E-09
   110    0.40771E-09    0.12005E-12   -0.39498E-11    0.55285E-06    0.72697E-09
   111    0.41217E-09    0.12174E-12   -0.40359E-11    0.54919E-06    0.71891E-09
   112    0.41665E-09    0.12339E-12   -0.41215E-11    0.54556E-06    0.71095E-09
   113    0.42116E-09    0.12500E-12   -0.42064E-11    0.54195E-06    0.70309E-09
   114    0.42569E-09    0.12656E-12   -0.42905E-11    0.53836E-06    0.69534E-09
   115    0.43024E-09    0.12810E-12   -0.43737E-11    0.53480E-06    0.68770E-09
   116    0.43480E-09    0.12958E-12   -0.44560E-11    0.53126E-06    0.68016E-09
   117    0.43940E-09    0.13101E-12   -0.45373E-11    0.52775E-06    0.67274E-09
   118    0.44402E-09    0.13241E-12   -0.46177E-11    0.52426E-06    0.66542E-09
   119    0.44864E-09    0.13376E-12   -0.46968E-11    0.52079E-06    0.65820E-09
   120    0.45328E-09    0.13505E-12   -0.47747E-11    0.51735E-06    0.65110E-09
   121    0.45792E-09    0.13631E-12   -0.48514E-11    0.51393E-06    0.64410E-09
